City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
502,hurghada,27.2574,33.8129,12.02,35,0,3.6,EG,1675813226
503,miguel alves,-4.1656,-42.8953,20.94,98,100,2.05,BR,1675813230
504,dehloran,32.6941,47.2679,10.31,60,6,1.14,IR,1675813232
505,bogatoye,53.0601,51.3325,-22.05,100,64,1.66,RU,1675813233
506,pilot butte,50.4668,-104.4178,0.85,84,75,5.66,CA,1675813234
507,port macquarie,-31.4333,152.9167,23.83,63,92,2.35,AU,1675813082
508,ambovombe,-25.1667,46.0833,22.29,91,99,2.09,MG,1675813235
509,taree,-31.9,152.4667,26.1,64,54,2.76,AU,1675813237
510,fakse,55.2469,12.1176,1.05,85,70,4.07,DK,1675813244
511,ouegoa,-20.35,164.4333,28.23,76,90,1.09,NC,1675813246
512,adrian,41.8975,-84.0372,4.0,81,100,6.17,US,1675813246
513,bassar,9.25,0.7833,29.01,43,99,0.41,TG,1675813247
514,faanui,-16.4833,-151.75,27.18,74,31,5.57,PF,1675813248
515,kalabo,-14.97,22.6814,18.78,94,100,2.72,ZM,1675813248
516,golkoy,40.6875,37.6178,-1.33,94,100,1.91,TR,1675813248
517,opuwo,-18.0607,13.84,18.83,55,98,2.66,NA,1675813249
518,cumpas,29.9833,-109.7833,15.95,13,0,5.32,MX,1675813250
519,balykshi,47.0667,51.8667,-6.0,86,75,11.0,KZ,1675813250
520,santa cruz del sur,20.7147,-77.9956,25.0,70,50,9.39,CU,1675813250
521,lunenburg,44.3835,-64.3155,-1.97,66,6,2.57,CA,1675813251
522,tahta,26.7693,31.5021,8.82,49,77,2.8,EG,1675813251
523,sao jose da coroa grande,-8.8978,-35.1478,25.37,69,88,3.63,BR,1675813252
524,brae,60.3964,-1.353,6.58,74,39,14.27,GB,1675813252
525,zhangye,38.9342,100.4517,-2.89,51,100,2.01,CN,1675813253
526,marzuq,14.4,46.4667,16.73,55,9,2.14,YE,1675813253
527,bud,39.447,-86.1758,11.37,65,100,2.64,US,1675813253
528,kilindoni,-7.9139,39.6668,27.47,78,100,5.56,TZ,1675813254
529,kholodnyy,62.7167,147.95,-36.13,99,99,1.03,RU,1675813254
530,sistranda,63.7256,8.834,2.98,86,80,7.89,NO,1675813255
531,zhigansk,66.7697,123.3711,-46.0,99,97,2.66,RU,1675813255
532,togur,58.3631,82.8265,-15.18,97,98,2.53,RU,1675813256
533,sinop,41.7711,34.8709,-3.28,96,100,5.27,TR,1675813256
534,vonyarcvashegy,46.7574,17.3117,-3.43,86,0,4.63,HU,1675813257
535,coahuayana,18.7333,-103.6833,26.67,66,3,2.44,MX,1675813257
536,nome,64.5011,-165.4064,-18.8,77,0,1.54,US,1675813257
537,aripuana,-9.1667,-60.6333,21.89,99,89,0.42,BR,1675813252
538,sembe,1.6481,14.5806,22.53,71,91,1.24,CG,1675813258
539,ulaanbaatar,47.9077,106.8832,-29.93,76,5,1.0,MN,1675813258
540,alamosa,37.4695,-105.87,3.99,17,0,3.09,US,1675813190
541,grindavik,63.8424,-22.4338,-3.03,80,75,11.83,IS,1675813259
542,clairmont,55.2667,-118.786,-1.04,59,75,0.0,CA,1675813259
543,skovorodino,53.9833,123.9167,-29.2,97,100,1.03,RU,1675813260
544,clyde river,70.4692,-68.5914,-35.87,68,20,0.0,CA,1675813260
545,juybar,36.6412,52.9124,8.99,91,44,3.21,IR,1675813261
546,buala,-8.145,159.5921,27.41,87,97,4.18,SB,1675813261
547,moyale,3.5167,39.0584,21.77,38,52,5.0,KE,1675813263
548,narsaq,60.9167,-46.05,-19.88,66,0,3.24,GL,1675813264
549,puerto rico,-26.796,-55.024,29.11,32,58,1.05,AR,1675813265
550,erenhot,43.6475,111.9767,-11.0,72,24,1.71,CN,1675813267
551,epe,6.5841,3.9834,25.42,87,100,1.93,NG,1675813268
552,lakes entrance,-37.8811,147.981,17.87,69,8,2.53,AU,1675813269
553,sabha,27.0377,14.4283,14.0,31,100,5.6,LY,1675813272
554,simao,22.7886,100.9748,7.81,50,2,0.29,CN,1675813278
555,goderich,43.7501,-81.7165,2.18,93,100,5.66,CA,1675813280
556,muros,42.7762,-9.0603,6.19,70,16,9.44,ES,1675813280
557,zhaodong,46.0833,125.9833,-18.26,95,71,1.17,CN,1675813281
558,samarai,-10.6167,150.6667,28.07,75,100,4.63,PG,1675813155
